origin_city,origin_state,origin_postal_code,dest_city,dest_state,dest_postal_code,practical_miles,short_miles,empty_miles,n_practical,n_short,practical_min,practical_max,practical_spread,short_min,short_max,trust_level,source,first_seen,last_seen
EDISON,NJ,,ROSENBERG,TX,,1641.7,1677.0,81.9,2.0,2,1641.7,1641.7,0.0,1677.0,1677.0,thin,history,2023-11-07,2024-01-19
TANGANCICUARO,MI,,SUMNER,WA,,2619.4,,0.0,2.0,0,2339.8,2899.1,559.3,,,thin,history,2024-10-21,2024-10-28
WOODBRIDGE,NJ,,HOUSTON,TX,,1619.3,1855.9,275.5,2.0,2,1619.3,1619.3,0.0,1739.6,1972.2,thin,history,2023-07-25,2023-12-12
CHESAPEAKE,VA,,LAREDO,TX,,1710.0,1979.6,307.2,2.0,2,1703.6,1716.5,12.9,1926.6,2032.5,thin,history,2022-06-28,2022-09-08
CERRITO BLANCO,CO,,LAREDO,TX,,180.7,232.6,48.6,2.0,1,178.9,182.5,3.6,232.6,232.6,thin,history,2025-06-19,2025-06-26
LOUISVILLE,KY,,SAN ANTONIO,TX,,1096.4,1362.8,318.7,2.0,2,1094.3,1098.5,4.2,1244.4,1481.3,thin,history,2020-08-07,2022-07-06
KANSAS CITY,KS,,LAREDO,TX,,917.0,1045.5,141.0,2.0,2,914.4,919.5,5.1,943.0,1148.0,thin,history,2022-05-26,2026-03-30
RICHLAND,WA,,ARLINGTON,TX,,1915.2,2298.2,465.9,2.0,2,1915.2,1915.2,0.0,2138.8,2457.7,thin,history,2022-07-14,2025-04-15
LAREDO,TX,,WEBBERVILLE,MI,,1581.9,1535.4,0.0,2.0,2,1580.2,1583.6,3.4,1532.4,1538.4,thin,history,2021-04-09,2025-03-05
LAREDO,TX,,MARENGO,IN,,1270.0,1203.6,0.0,2.0,1,1270.0,1270.0,0.0,1203.6,1203.6,thin,history,2020-07-12,2020-08-05
RICHMOND HILL,NY,,LAREDO,TX,,1996.0,1954.3,34.7,2.0,2,1996.0,1996.0,0.0,1954.3,1954.3,thin,history,2026-05-22,2026-05-22
ANDERSON,IN,,SAN ANTONIO,TX,,1210.7,1431.1,284.8,2.0,1,1210.7,1210.7,0.0,1431.1,1431.1,thin,history,2021-03-30,2022-10-12
WINCHESTER,VA,,HONDO,TX,,1576.4,1885.4,346.8,2.0,2,1576.4,1576.4,0.0,1825.4,1945.3,thin,history,2026-01-17,2026-01-17
LAREDO,TX,,MARSHALL,MN,,1327.4,1314.7,0.0,2.0,1,1327.4,1327.4,0.0,1314.7,1314.7,thin,history,2021-03-19,2021-04-01
WYOMING,NY,,LAREDO,TX,,1859.0,2162.4,381.6,2.0,2,1838.9,1879.0,40.1,2139.2,2185.7,thin,history,2022-07-01,2024-01-03
AMERICAN FALLS,ID,,LAREDO,TX,,1680.9,1777.5,241.8,2.0,2,1680.9,1680.9,0.0,1767.5,1787.5,thin,history,2023-12-20,2024-01-30
LAREDO,TX,,MASILLON,OH,,1591.1,1525.2,0.0,2.0,2,1591.1,1591.1,0.0,1525.2,1525.2,thin,history,2023-01-28,2023-09-01
LAREDO,TX,,MASPETH,NY,,1995.2,1928.6,0.0,2.0,2,1993.4,1996.9,3.5,1919.6,1937.6,thin,history,2022-09-20,2023-03-27
MOUNT ZION,IL,,ESCOBEDO,N.,,1204.0,1404.0,235.2,2.0,2,1204.0,1204.0,0.0,1404.0,1404.0,thin,history,2022-11-28,2022-11-29
LAREDO,TX,,MC COOK,IL,,1367.8,1350.8,0.0,2.0,2,1367.8,1367.8,0.0,1350.8,1350.8,thin,history,2026-04-14,2026-04-17
CLACKAMAS,OR,,LAREDO,TX,,2264.7,2308.5,176.8,2.0,2,2264.7,2264.7,0.0,2295.0,2322.0,thin,history,2022-06-02,2022-11-23
WYTHEVILLE,VA,,LANCASTER,TX,,1032.2,1167.3,318.9,2.0,1,1032.2,1032.2,0.0,1167.3,1167.3,thin,history,2020-10-22,2022-11-15
COLUMBUS JUNCTION,IA,,HIDALGO,TX,,1299.9,1917.2,641.8,2.0,2,1299.9,1299.9,0.0,1917.2,1917.2,thin,history,2025-04-27,2025-04-27
NUEVO LAREDO,TA,,NEWMAN,GA,,1326.1,1093.0,0.0,2.0,1,1103.6,1548.6,445.0,1093.0,1093.0,thin,history,2023-07-26,2023-08-02
TULSA,OK,,LAREDO,TX,,695.4,755.6,64.2,2.0,2,688.8,702.0,13.2,696.9,814.3,thin,history,2021-07-16,2022-08-12
WILMINGTON,MA,,LAREDO,TX,,2196.0,2337.2,204.4,2.0,2,2195.6,2196.5,0.9,2199.9,2474.6,thin,history,2026-03-16,2026-05-28
FT SMITH,AR,,HIDALGO,TX,,789.3,1328.6,574.8,2.0,2,789.3,789.3,0.0,1241.6,1415.6,thin,history,2025-05-01,2025-05-08
NUEVO LAREDO,TA,,NEW BRAUNFELS,TX,,197.9,192.7,94.6,2.0,1,197.9,197.9,0.0,192.7,192.7,thin,history,2025-08-16,2025-08-25
DILLON,SC,,TEMPLE,TX,,1185.8,1494.7,324.0,2.0,2,1185.8,1185.8,0.0,1276.9,1712.5,thin,history,2022-10-26,2023-04-12
FROSTPROOF,FL,,SAN ANTONIO,TX,,1195.8,1367.8,192.6,2.0,2,1195.8,1195.8,0.0,1367.7,1367.8,thin,history,2022-05-24,2022-06-07
LAREDO,TX,,SYLMAR,CA,,1521.1,1388.8,0.0,2.0,2,1521.1,1521.1,0.0,1388.7,1389.0,thin,history,2024-10-04,2025-08-07
LAREDO,TX,,CLAREMORE,OK,,724.0,715.2,0.0,2.0,2,714.3,733.7,19.4,707.4,722.9,thin,history,2023-02-16,2025-10-09
LAREDO,TX,,WESTAMPTON,NJ,,1911.4,1856.0,0.0,2.0,2,1911.4,1911.4,0.0,1856.0,1856.0,thin,history,2023-03-04,2023-07-06
LAREDO,TX,,SUDBURY,MA,,2177.0,2113.0,0.0,2.0,2,2175.8,2178.2,2.4,2107.8,2118.3,thin,history,2022-08-29,2023-04-14
LAREDO,TX,,LOCKPORT,IL,,1323.8,1310.8,0.0,2.0,2,1323.5,1324.0,0.5,1310.4,1311.2,thin,history,2024-04-26,2024-11-29
SIOUX CITY,IA,,SIOUX CITY,IA,,1626.1,1616.5,7.4,2.0,2,922.5,2329.7,1407.2,924.6,2308.4,thin,history,2025-05-09,2025-05-12
LAREDO,TX,,SUMMER,WA,,2339.7,2202.9,0.0,2.0,2,2339.7,2339.7,0.0,2202.9,2202.9,thin,history,2023-09-12,2023-09-12
MORGANTOWN,WV,,HOUSTON,TX,,1330.0,1714.8,417.3,2.0,2,1330.0,1330.0,0.0,1698.3,1731.2,thin,history,2023-07-04,2023-07-04
CLARKSVILLE,TN,,LAREDO,TX,,1238.2,1329.6,116.6,2.0,2,1113.5,1362.9,249.4,1165.8,1493.4,thin,history,2025-08-19,2025-10-14
LAREDO,TX,,LONDONDERRY,NH,,2209.8,2157.6,0.0,2.0,2,2209.8,2209.8,0.0,2157.6,2157.6,thin,history,2021-06-25,2023-07-07
LAREDO,TX,,FORT VALLEY GA,GA,,1139.0,1103.9,0.0,2.0,2,1139.0,1139.0,0.0,1103.9,1103.9,thin,history,2024-04-09,2024-04-09
JORDAN,MI,,SAN ANTONIO,TX,,1922.0,2216.7,350.4,2.0,2,1540.0,2304.0,764.0,1905.3,2528.1,thin,history,2025-09-04,2025-10-03
MONTROSE,CO,,BURNET,TX,,972.0,1387.2,436.4,2.0,2,972.0,972.0,0.0,1266.2,1508.3,thin,history,2023-01-26,2024-06-19
LAREDO,TX,,BARTOW,FL,,1338.3,1304.3,0.0,2.0,2,1338.3,1338.3,0.0,1304.3,1304.3,thin,history,2022-05-18,2022-07-09
LAREDO,TX,,FORT LAUDERDALE,FL,,1512.0,1478.4,0.0,2.0,2,1510.9,1513.0,2.1,1468.3,1488.5,thin,history,2023-08-11,2023-11-04
GLOVERSVILLE,NY,,LAREDO,TX,,2052.0,2203.4,215.6,2.0,2,2051.1,2053.0,1.9,2155.4,2251.3,thin,history,2023-10-05,2024-10-02
TWIN FALLS,ID,,FORTH WORTH,TX,,1473.1,1632.9,218.6,2.0,2,1473.1,1473.1,0.0,1585.1,1680.8,thin,history,2023-03-10,2023-08-19
RAVENA,NY,,MANNSVILLE,OK,,1628.1,1722.0,153.7,2.0,2,1628.1,1628.1,0.0,1722.0,1722.0,thin,history,2025-11-18,2025-11-18
RED BUD,IL,,LAREDO,TX,,1083.6,1262.8,218.3,2.0,2,1081.7,1085.5,3.8,1162.1,1363.4,thin,history,2025-03-27,2025-12-08
WORTHINGTON,MN,,LAREDO,TX,,1266.9,1385.7,146.8,2.0,2,1266.9,1266.9,0.0,1385.7,1385.7,thin,history,2022-05-12,2024-07-05
REDMOND,UT,,LAREDO,TX,,1430.1,1442.8,138.8,2.0,2,1430.1,1430.1,0.0,1440.2,1445.5,thin,history,2022-02-22,2023-02-27
GILCHRIST,OR,,SAN ANTONIO,TX,,2135.9,2236.4,237.3,2.0,2,2135.9,2135.9,0.0,2221.8,2251.0,thin,history,2022-06-07,2022-06-21
APODACA,N.,,EDGERTON,KS,,1084.3,1039.6,0.0,2.0,2,1084.3,1084.3,0.0,1039.6,1039.6,thin,history,2026-03-26,2026-03-26
SUNNYSIDE,WA,,LAREDO,TX,,2155.4,2245.0,234.8,2.0,2,2155.4,2155.4,0.0,2192.9,2297.2,thin,history,2022-03-21,2022-09-06
LAREDO,TX,,MADISON HEIGHTS,MI,,1642.9,1581.8,0.0,2.0,2,1642.9,1642.9,0.0,1581.8,1581.8,thin,history,2023-06-29,2023-09-12
WAYNE,NJ,,GRAND PRAIRIE,TX,,1554.3,1602.9,53.5,2.0,2,1554.3,1554.3,0.0,1589.1,1616.7,thin,history,2022-11-07,2023-06-06
LAREDO,TX,,CLARKSVILLE,AR,,762.5,752.0,0.0,2.0,2,761.4,763.6,2.2,748.9,755.1,thin,history,2024-04-06,2024-04-07
ANTIGO,WI,,LAREDO,TX,,1575.9,1649.4,129.2,2.0,2,1575.9,1575.9,0.0,1649.4,1649.4,thin,history,2023-02-13,2023-02-16
GOODLETTSVILLE,TN,,WEBBERVILLE,MI,,540.4,570.9,36.6,2.0,2,540.4,540.4,0.0,570.9,570.9,thin,history,2025-01-25,2025-02-02
LAREDO,TX,,TALLMADGE,OH,,1602.9,1547.0,0.0,2.0,1,1602.9,1602.9,0.0,1547.0,1547.0,thin,history,2026-08-14,2026-08-25
LAREDO,TX,,MODOC,IN,,1398.4,1347.9,0.0,2.0,2,1398.4,1398.4,0.0,1347.9,1347.9,thin,history,2023-01-06,2023-01-09
ALSIP,IL,,LAREDO,TX,,1381.6,1348.8,22.5,2.0,2,1379.1,1384.1,5.0,1335.9,1361.8,thin,history,2022-02-07,2022-02-11
CANONSBURG,PA,,SINTON,TX,,1508.1,1978.5,497.6,2.0,2,1508.1,1508.1,0.0,1921.9,2035.1,thin,history,2022-04-19,2023-03-14
LAREDO,TX,,MONMOUTH,IL,,1198.2,1191.9,0.0,2.0,2,1198.2,1198.2,0.0,1191.9,1191.9,thin,history,2026-05-05,2026-05-05
TOMASVILLE,AL,,MIDLAND,TX,,900.0,1814.3,1037.4,2.0,2,900.0,900.0,0.0,1814.3,1814.3,thin,history,2024-07-01,2024-07-01
LAREDO,TX,,MONROE,NJ,,1942.6,1887.2,0.0,2.0,2,1942.6,1942.6,0.0,1887.2,1887.2,thin,history,2022-02-18,2022-04-19
TONAWANDA,NY,,LAREDO,TX,,1814.2,2066.4,325.2,2.0,2,1812.5,1815.9,3.4,2004.7,2128.0,thin,history,2022-01-04,2023-09-06
SWEDESBORO,NJ,,CLEBURNE,TX,,1509.7,1756.8,266.6,2.0,2,1509.7,1509.7,0.0,1704.3,1809.2,thin,history,2022-08-20,2023-06-07
LAREDO,TX,,VOORHEES,NJ,,1898.4,1832.8,0.0,2.0,2,1897.3,1899.4,2.1,1832.5,1833.2,thin,history,2026-02-06,2026-02-13
TRENTON,GA,,LAREDO,TX,,1152.3,1236.1,163.0,2.0,2,1152.3,1152.3,0.0,1236.1,1236.1,thin,history,2025-12-16,2026-01-29
SHIPPENSBURG,PA,,LAREDO,TX,,1772.7,1976.1,247.9,2.0,2,1772.7,1772.7,0.0,1958.5,1993.7,thin,history,2022-04-19,2022-12-10
LUFKIN,TX,,LAREDO,TX,,469.0,618.7,189.7,2.0,2,466.1,471.9,5.8,606.2,631.1,thin,history,2023-01-13,2023-09-14
RUSSELLLVILLE,AR,,LAREDO,TX,,787.6,1176.8,419.7,2.0,2,787.6,787.6,0.0,1007.3,1346.4,thin,history,2023-10-25,2023-11-15
ALLOY,WV,,LAREDO,TX,,1562.5,1879.0,382.6,2.0,2,1562.5,1562.5,0.0,1617.1,2141.0,thin,history,2022-07-07,2022-07-12
RUSSELLVILLE,AR,,LAREDO,TX,,787.6,1003.8,232.0,2.0,2,787.6,787.6,0.0,969.0,1038.7,thin,history,2021-06-08,2023-05-12
LAREDO,TX,,BRENHAM,TX,,306.7,305.7,153.2,2.0,1,306.7,306.7,0.0,305.7,305.7,thin,history,2023-09-26,2023-10-05
FLEMINGTON,NJ,,TERRELL,TX,,1485.9,2050.8,597.1,2.0,2,1485.9,1485.9,0.0,2001.3,2100.4,thin,history,2022-11-29,2023-01-24
RUSSELVILLE,AR,,LAREDO,TX,,790.0,1193.6,439.2,2.0,2,790.0,790.0,0.0,1184.7,1202.5,thin,history,2024-10-22,2024-11-25
KEARNY,NJ,,HOUSTON,TX,,1610.9,1599.8,27.1,2.0,2,1610.9,1610.9,0.0,1599.8,1599.8,thin,history,2025-06-20,2025-06-20
S WILLIAMSPORT,PA,,FLORESVILLE,TX,,1799.7,1979.1,447.4,2.0,1,1713.2,1886.2,173.0,1979.1,1979.1,thin,history,2025-10-17,2025-12-22
FLOODWOOD,MN,,PLAIN DEALING,LA,,1116.3,1273.8,176.5,2.0,2,1116.3,1116.3,0.0,1251.8,1295.9,thin,history,2025-10-17,2025-10-17
MOUNTAIN TOP,PA,,CORPUS CHRISTI,TX,,1761.5,1894.9,155.0,2.0,2,1761.5,1761.5,0.0,1881.1,1908.7,thin,history,2023-02-06,2023-02-15
LAREDO,TX,,QUINCY,WA,,2273.0,2074.8,0.0,2.0,2,2273.0,2273.0,0.0,2074.8,2074.8,thin,history,2022-06-10,2023-01-27
LAREDO,TX,,MEDICINE BOW,WY,,1291.4,1216.4,0.0,2.0,2,1291.4,1291.4,0.0,1216.4,1216.4,thin,history,2024-03-13,2024-03-13
TROY,AL,,LAREDO,TX,,986.5,1226.0,265.0,2.0,2,986.4,986.6,0.2,1065.2,1386.8,thin,history,2022-01-28,2025-06-16
ALTOONA,PA,,LAREDO,TX,,1746.1,1971.3,292.6,2.0,2,1746.1,1746.1,0.0,1965.3,1977.3,thin,history,2022-10-19,2023-06-27
NEW HAVEN,CT,,SEALY,TX,,1759.8,2116.2,409.6,2.0,2,1759.8,1759.8,0.0,2116.2,2116.2,thin,history,2025-10-03,2025-10-03
LAREDO,TX,,QUARTZS,AZ,,1258.0,1155.4,0.0,2.0,2,1258.0,1258.0,0.0,1155.4,1155.4,thin,history,2023-01-23,2023-03-06
LAREDO,TX,,WATERLOO,IA,,1254.4,1209.8,0.0,2.0,2,1253.9,1254.8,0.9,1209.0,1210.6,thin,history,2023-06-03,2024-11-22
YAKIMA,WA,,HOUSTON,TX,,2204.3,2657.9,564.8,2.0,2,2204.3,2204.3,0.0,2657.9,2657.9,thin,history,2022-09-28,2022-09-28
LAREDO,TX,,WASHINGTON COURT HOUSE,OH,,1712.3,1645.9,0.0,2.0,2,1712.3,1712.3,0.0,1645.9,1645.9,thin,history,2025-10-13,2025-10-14
YAKIMA,WA,,MANOR,TX,,2138.5,2320.2,360.4,2.0,2,2138.5,2138.5,0.0,2199.0,2441.3,thin,history,2024-08-14,2024-08-14
LAREDO,TX,,MIDLAND,TX,,505.2,404.9,266.0,2.0,1,486.9,523.5,36.6,404.9,404.9,thin,history,2022-05-12,2023-08-03
FRANKLIN PARK,IL,,SPRINGFIELD,MA,,939.9,905.4,10.0,2.0,2,939.9,939.9,0.0,901.5,909.4,thin,history,2026-05-27,2026-05-28
LAREDO,TX,,BOHEMIA,NY,,2035.7,1975.0,0.0,2.0,2,2032.9,2038.5,5.6,1973.8,1976.3,thin,history,2022-10-11,2023-03-14
SWEDEDBORO,NJ,,LAREDO,TX,,1876.8,1932.4,113.6,2.0,2,1876.8,1876.8,0.0,1883.2,1981.5,thin,history,2022-09-14,2022-10-14
DEVENS,MA,,LAREDP,TX,,2184.5,2156.0,47.4,2.0,2,2184.5,2184.5,0.0,2152.5,2159.4,thin,history,2026-04-23,2026-05-13
LAREDO,TX,,MILWAUKIE,OR,,2265.6,2138.3,0.0,2.0,2,2261.2,2270.0,8.8,2134.0,2142.6,thin,history,2022-08-02,2022-11-04
FOUR OAKS,NC,,LAREDO,TX,,1547.6,1721.5,249.8,2.0,2,1545.0,1550.1,5.1,1647.6,1795.4,thin,history,2022-03-18,2022-06-23
ROCKFORD,IL,,LAREDO,TX,,1354.6,1610.6,182.6,2.0,1,1354.6,1354.6,0.0,1610.6,1610.6,thin,history,2021-08-05,2022-06-01
LAREDO,TX,,DELTA,OH,,1529.7,1476.9,0.0,2.0,2,1528.6,1530.8,2.2,1470.6,1483.3,thin,history,2023-03-11,2023-04-01
LAREDO,TX,,WARRENTON,MO,,1042.7,1037.4,0.0,2.0,2,1042.7,1042.7,0.0,1037.4,1037.4,thin,history,2023-01-11,2023-09-29
TRENTON,GA,,SAN ANTONIO,TX,,994.6,1256.9,315.1,2.0,2,994.6,994.6,0.0,1256.9,1256.9,thin,history,2026-02-27,2026-02-27
NUEVO LAREDO,TA,,NAZARETH,PA,,1898.9,1846.4,0.0,2.0,2,1898.9,1898.9,0.0,1846.4,1846.4,thin,history,2021-11-04,2022-08-15
LAREDO,TX,,WALTON,KY,,1341.8,1301.8,0.0,2.0,2,1341.8,1341.8,0.0,1301.8,1301.8,thin,history,2022-07-23,2023-07-08
ROCKPORT IN,IN,,LAREDO,TX,,1202.9,1303.3,148.0,2.0,2,1202.9,1202.9,0.0,1303.3,1303.3,thin,history,2024-04-08,2024-06-14
NUEVO LAREDO,TA,,BUSHNELL,FL,,1367.4,1329.0,0.0,1.0,1,1367.4,1367.4,0.0,1329.0,1329.0,thin,history,2022-04-02,2022-04-02
MADISON,FL,,LAREDO,TX,,1109.6,1293.0,215.1,1.0,1,1109.6,1109.6,0.0,1293.0,1293.0,thin,history,2021-05-11,2021-05-11
NUEVO LAREDO,TA,,CHARITON,IA,,1103.1,1078.8,0.0,1.0,1,1103.1,1103.1,0.0,1078.8,1078.8,thin,history,2023-02-06,2023-02-06
NUEVO LAREDO,TA,,CENTER POINT,AL,,1039.2,,0.0,1.0,0,1039.2,1039.2,0.0,,,thin,history,2025-05-31,2025-05-31
MCADOO,PA,,ROANOKE,TX,,1489.5,1970.9,498.2,1.0,1,1489.5,1489.5,0.0,1970.9,1970.9,thin,history,2023-01-11,2023-01-11
MADILL,OK,,LAREDO,TX,,532.1,636.7,128.6,1.0,1,532.1,532.1,0.0,636.7,636.7,thin,history,2023-05-23,2023-05-23
MCALESTER,OK,,LAREDO,TX,,597.4,713.5,128.6,1.0,1,597.4,597.4,0.0,713.5,713.5,thin,history,2021-07-19,2021-07-19
NUEVO LAREDO,TA,,CINCINNATI,OH,,1389.6,1335.1,0.0,1.0,1,1389.6,1389.6,0.0,1335.1,1335.1,thin,history,2022-01-06,2022-01-06
MC CONNELLSBURG,PA,,SCHERTZ,TX,,1591.4,1802.3,267.2,1.0,1,1591.4,1591.4,0.0,1802.3,1802.3,thin,history,2022-06-07,2022-06-07
NUEVO LAREDO,TA,,CHALOTTE,NC,,1424.5,1404.7,0.0,1.0,1,1424.5,1424.5,0.0,1404.7,1404.7,thin,history,2022-05-12,2022-05-12
NUEVO LAREDO,TA,,CARNEGIE,PA,,1639.4,1584.4,0.0,1.0,1,1639.4,1639.4,0.0,1584.4,1584.4,thin,history,2023-11-13,2023-11-13
NUEVO LAREDO,TA,,BYHALIA MS,MS,,925.3,889.0,0.0,1.0,1,925.3,925.3,0.0,889.0,889.0,thin,history,2025-09-03,2025-09-03
MADRAS,OR,,BUCHANAN,OR,,205.7,549.8,344.8,1.0,1,205.7,205.7,0.0,549.8,549.8,thin,history,2022-09-12,2022-09-12
MARINETTE,WI,,LAREDO,TX,,1602.8,1673.1,94.7,1.0,1,1602.8,1602.8,0.0,1673.1,1673.1,thin,history,2022-09-30,2022-09-30
NUEVO LAREDO,TA,,ELOY,AZ,,958.4,955.2,0.0,1.0,1,958.4,958.4,0.0,955.2,955.2,thin,history,2021-03-16,2021-03-16
NUEVO LAREDO,TA,,ENNIS,TX,,408.3,338.7,0.0,1.0,1,408.3,408.3,0.0,338.7,338.7,thin,history,2022-06-13,2022-06-13
MARIETTA,GA,,LAREDO,TX,,1156.1,1133.8,26.5,1.0,1,1156.1,1156.1,0.0,1133.8,1133.8,thin,history,2023-09-01,2023-09-01
MARIETTA,GA,,CARTHAGE,MS,,365.2,1139.5,859.4,1.0,1,365.2,365.2,0.0,1139.5,1139.5,thin,history,2025-02-02,2025-02-02
MARICOPA,AZ,,LAS VEGAS,NM,,563.2,585.1,35.2,1.0,1,563.2,563.2,0.0,585.1,585.1,thin,history,2026-01-23,2026-01-23
MARICOPA,AZ,,EL PASO,TX,,419.8,1057.5,742.3,1.0,1,419.8,419.8,0.0,1057.5,1057.5,thin,history,2025-12-29,2025-12-29
MARICOPA,AZ,,ALBUQUERQUE,NM,,452.1,472.6,35.2,1.0,1,452.1,452.1,0.0,472.6,472.6,thin,history,2026-01-19,2026-01-19
MARENGO,IL,,SAN ANTONIO,TX,,1205.1,,198.3,1.0,0,1205.1,1205.1,0.0,,,thin,history,2021-04-27,2021-04-27
MARENGO,IL,,MCALLEN,TX,,1449.7,,500.3,1.0,0,1449.7,1449.7,0.0,,,thin,history,2025-08-11,2025-08-11
MARENGO,IL,,MARENGO,IL,,2738.2,249.5,57.0,1.0,1,2738.2,2738.2,0.0,249.5,249.5,thin,history,2025-07-14,2025-07-14
NUEVO LAREDO,TA,,EUGENE,OR,,2372.5,,0.0,1.0,0,2372.5,2372.5,0.0,,,thin,history,2025-04-16,2025-04-16
MCBEE,SC,,SAN ANTONIO,TX,,1272.5,1570.7,308.4,1.0,1,1272.5,1272.5,0.0,1570.7,1570.7,thin,history,2023-05-25,2023-05-25
MANZANOLA,CO,,ALVARADO,TX,,652.3,694.8,48.1,1.0,1,652.3,652.3,0.0,694.8,694.8,thin,history,2022-09-01,2022-09-01
MANTON,MI,,HOUSTON,TX,,1346.5,,476.6,1.0,0,1346.5,1346.5,0.0,,,thin,history,2020-11-13,2020-11-13
MAGNOLIA,MS,,SAN ANTONIO,TX,,545.0,1369.4,871.5,1.0,1,545.0,545.0,0.0,1369.4,1369.4,thin,history,2025-11-24,2025-11-24
MANTENO,IL,,LAREDO,TX,,1352.9,1511.5,207.4,1.0,1,1352.9,1352.9,0.0,1511.5,1511.5,thin,history,2021-12-02,2021-12-02
MANNSFIELD,TX,,LAREDO,TX,,419.3,442.5,27.1,1.0,1,419.3,419.3,0.0,442.5,442.5,thin,history,2023-05-17,2023-05-17
MANITOWOC,WI,,LAREDO,TX,,1513.2,1669.5,164.7,1.0,1,1513.2,1513.2,0.0,1669.5,1669.5,thin,history,2023-03-09,2023-03-09
MANCHESTER,PA,,LAREDO,TX,,1845.0,1890.3,77.8,1.0,1,1845.0,1845.0,0.0,1890.3,1890.3,thin,history,2024-03-29,2024-03-29
MALVERN,AR,,LAREDO,TX,,706.4,824.9,195.4,1.0,1,706.4,706.4,0.0,824.9,824.9,thin,history,2025-08-22,2025-08-22
MANCHESTER,PA,,LANCASTER,TX,,1399.3,1969.0,593.4,1.0,1,1399.3,1399.3,0.0,1969.0,1969.0,thin,history,2021-10-19,2021-10-19
MALVERN,PA,,LAREDO,TX,,1887.3,1870.2,40.0,1.0,1,1887.3,1887.3,0.0,1870.2,1870.2,thin,history,2023-08-11,2023-08-11
NUEVO LAREDO,TA,,GREEN BAY,WI,,1545.3,1514.3,0.0,1.0,1,1545.3,1545.3,0.0,1514.3,1514.3,thin,history,2023-02-20,2023-02-20
MANASSAS,VA,,CORPUS CHRISTI,TX,,1595.7,1925.8,376.1,1.0,1,1595.7,1595.7,0.0,1925.8,1925.8,thin,history,2026-08-16,2026-08-16
NUEVO LAREDO,TA,,GREER,SC,,1309.2,1278.8,0.0,1.0,1,1309.2,1309.2,0.0,1278.8,1278.8,thin,history,2025-09-28,2025-09-28
NUEVO LAREDO,TA,,GREENFIELD,IN,,1363.2,1315.9,0.0,1.0,1,1363.2,1363.2,0.0,1315.9,1315.9,thin,history,2026-01-30,2026-01-30
MAGNOLIA,MS,,LAREDO,TX,,709.1,850.5,181.2,1.0,1,709.1,709.1,0.0,850.5,850.5,thin,history,2024-02-05,2024-02-05
NUEVO LAREDO,TA,,CLAREMORE,OK,,721.1,714.9,0.0,1.0,1,721.1,721.1,0.0,714.9,714.9,thin,history,2022-09-02,2022-09-02
MC CONNELLSBURG,PA,,PHARR,TX,,1757.1,2179.0,448.0,1.0,1,1757.1,1757.1,0.0,2179.0,2179.0,thin,history,2022-12-20,2022-12-20
MAXTON,NC,,WOLFE CITY,TX,,1133.9,1129.0,37.2,1.0,1,1133.9,1133.9,0.0,1129.0,1129.0,thin,history,2023-04-19,2023-04-19
MADISON,GA,,LAFAYETTE,IN,,660.7,674.2,56.6,1.0,1,660.7,660.7,0.0,674.2,674.2,thin,history,2025-08-22,2025-08-22
NUEVO LAREDO,TA,,DANVILLE,VA,,1519.8,1487.0,0.0,1.0,1,1519.8,1519.8,0.0,1487.0,1487.0,thin,history,2022-08-05,2022-08-05
MATTESON,IL,,LAREDO,TX,,1372.5,1331.9,9.6,1.0,1,1372.5,1372.5,0.0,1331.9,1331.9,thin,history,2024-02-06,2024-02-06
NUEVO LAREDO,TA,,DARIEN,WI,,1399.6,1394.8,0.0,1.0,1,1399.6,1399.6,0.0,1394.8,1394.8,thin,history,2023-02-10,2023-02-10
MASON,OH,,SAN ANTONIO,TX,,1223.4,1354.9,193.8,1.0,1,1223.4,1223.4,0.0,1354.9,1354.9,thin,history,2022-12-13,2022-12-13
MARYVILLE,TN,,LAREDO,TX,,1256.1,1388.6,162.7,1.0,1,1256.1,1256.1,0.0,1388.6,1388.6,thin,history,2021-01-18,2021-01-18
MARYLAND,MO,,PHARR,TX,,1224.9,1664.6,466.5,1.0,1,1224.9,1224.9,0.0,1664.6,1664.6,thin,history,2025-03-31,2025-03-31
MARYLAND HEIGHTS,MO,,WACO,TX,,721.4,938.8,232.8,1.0,1,721.4,721.4,0.0,938.8,938.8,thin,history,2026-08-10,2026-08-10
MADISON,IN,,CORPUS CHRISTI,TX,,1400.9,1664.4,293.9,1.0,1,1400.9,1400.9,0.0,1664.4,1664.4,thin,history,2025-05-29,2025-05-29
MARTINSBURG,WV,,SHERMAN,TX,,1180.3,1441.7,280.5,1.0,1,1180.3,1180.3,0.0,1441.7,1441.7,thin,history,2023-03-21,2023-03-21
MADISONVILLE,TX,,LAREDO,TX,,367.3,439.3,122.8,1.0,1,367.3,367.3,0.0,439.3,439.3,thin,history,2021-09-23,2021-09-23
MARSHVILLE,NC,,NACOGDOCHES,TX,,1606.6,2514.5,1013.4,1.0,1,1606.6,1606.6,0.0,2514.5,2514.5,thin,history,2022-07-06,2022-07-06
NUEVO LAREDO,TA,,DES MOINES,IA,,1232.4,1210.4,0.0,1.0,1,1232.4,1232.4,0.0,1210.4,1210.4,thin,history,2020-09-04,2020-09-04
MARSHVILLE,NC,,FRIONA,TX,,1750.5,2386.9,729.1,1.0,1,1750.5,1750.5,0.0,2386.9,2386.9,thin,history,2025-01-07,2025-01-07
